Time (s),A/D Value
3.40E-06,0.05651967
3.40E-06,0.05654277
3.41E-06,0.05656571
3.41E-06,0.05656947
3.41E-06,0.05658458
3.42E-06,0.05664321
3.42E-06,0.05668313
3.43E-06,0.05666995
3.43E-06,0.05668394
3.43E-06,0.05670334
3.44E-06,0.05668516
3.44E-06,0.05668214
3.45E-06,0.05671075
3.45E-06,0.05676336
3.45E-06,0.05680946
3.46E-06,0.05681554
3.46E-06,0.05680304
3.47E-06,0.05679192
3.47E-06,0.05679415
3.47E-06,0.05680581
3.48E-06,0.05681176
3.48E-06,0.05683554
3.49E-06,0.05689985
3.49E-06,0.05694273
3.49E-06,0.0568887
3.50E-06,0.05682272
3.50E-06,0.05680553
3.51E-06,0.05679903
3.51E-06,0.05684436
3.51E-06,0.05692354
3.52E-06,0.05697994
3.52E-06,0.05701998
3.53E-06,0.05701786
3.53E-06,0.05697031
3.53E-06,0.05693837
3.54E-06,0.05695869
3.54E-06,0.05700975
3.55E-06,0.05704079
3.55E-06,0.05704598
3.55E-06,0.05705907
3.56E-06,0.05708217
3.56E-06,0.05706878
3.57E-06,0.05704527
3.57E-06,0.05705661
3.57E-06,0.05706789
3.58E-06,0.05710125
3.58E-06,0.05716684
3.59E-06,0.05720857
3.59E-06,0.05721486
3.59E-06,0.05719585
3.60E-06,0.05718167
3.60E-06,0.05719249
3.61E-06,0.0572145
3.61E-06,0.05725451
3.61E-06,0.05730042
3.62E-06,0.05734241
3.62E-06,0.05737633
3.63E-06,0.05736402
3.63E-06,0.0573288
3.63E-06,0.05735153
3.64E-06,0.05741557
3.64E-06,0.05746014
3.65E-06,0.05748577
3.65E-06,0.05751205
3.65E-06,0.0575295
3.66E-06,0.05750035
3.66E-06,0.05746785
3.67E-06,0.05750898
3.67E-06,0.05758105
3.67E-06,0.0576504
3.68E-06,0.05770556
3.68E-06,0.0577134
3.69E-06,0.05773011
3.69E-06,0.05774695
3.69E-06,0.05771847
3.70E-06,0.0577256
3.70E-06,0.05777465
3.71E-06,0.0578282
3.71E-06,0.05789444
3.71E-06,0.05791869
3.72E-06,0.05788955
3.72E-06,0.05785016
3.73E-06,0.05785413
3.73E-06,0.05790493
3.73E-06,0.05792832
3.74E-06,0.05792466
3.74E-06,0.05793217
3.75E-06,0.05796984
3.75E-06,0.05800873
3.76E-06,0.05799878
3.76E-06,0.0579489
3.76E-06,0.05789291
3.77E-06,0.05789889
3.77E-06,0.05796526
3.78E-06,0.05802073
3.78E-06,0.05804976
3.78E-06,0.05804383
3.79E-06,0.05800619
3.79E-06,0.05798351
3.80E-06,0.05799118
3.80E-06,0.05800219
3.80E-06,0.05804196
3.81E-06,0.05810221
3.81E-06,0.0581325
3.82E-06,0.05814685
3.82E-06,0.05811192
3.82E-06,0.05806552
3.83E-06,0.05809472
3.83E-06,0.05814543
3.84E-06,0.05817781
3.84E-06,0.05820274
3.84E-06,0.05822259
3.85E-06,0.0582247
3.85E-06,0.05819235
3.86E-06,0.05815495
3.86E-06,0.05814056
3.86E-06,0.05816175
3.87E-06,0.05821386
3.87E-06,0.05825353
3.88E-06,0.05825976
3.88E-06,0.05825321
3.88E-06,0.05825916
3.89E-06,0.05827742
3.89E-06,0.05829015
3.90E-06,0.05830538
3.90E-06,0.05833386
3.90E-06,0.05836818
3.91E-06,0.05839923
3.91E-06,0.05840191
3.92E-06,0.05836796
3.92E-06,0.05832194
3.92E-06,0.05831519
3.93E-06,0.05836665
3.93E-06,0.0584345
3.94E-06,0.05848123
3.94E-06,0.05849442
3.94E-06,0.05852385
3.95E-06,0.05855634
3.95E-06,0.05855501
3.96E-06,0.05857219
3.96E-06,0.05861832
3.96E-06,0.05868585
3.97E-06,0.05873572
3.97E-06,0.05874189
3.98E-06,0.05873955
3.98E-06,0.05870747
3.98E-06,0.05868594
3.99E-06,0.05872133
3.99E-06,0.05876164
4.00E-06,0.05879995
4.00E-06,0.05884564
4.00E-06,0.05889361
4.01E-06,0.05892168
4.01E-06,0.05888778
4.02E-06,0.05883095
4.02E-06,0.05882724
4.02E-06,0.05887678
4.03E-06,0.05893085
4.03E-06,0.058954
4.04E-06,0.05898683
4.04E-06,0.05905322
4.04E-06,0.05908762
4.05E-06,0.05908213
4.05E-06,0.05909319
4.06E-06,0.05912929
4.06E-06,0.05915335
4.06E-06,0.05914766
4.07E-06,0.05914847
4.07E-06,0.05917587
4.08E-06,0.05917801
4.08E-06,0.05915554
4.08E-06,0.05918371
4.09E-06,0.0592388
4.09E-06,0.05925419
4.10E-06,0.05924735
4.10E-06,0.05925943
4.10E-06,0.05928573
4.11E-06,0.05929117
4.11E-06,0.0593038
4.12E-06,0.0593462
4.12E-06,0.05937249
4.12E-06,0.05937397
4.13E-06,0.05937004
4.13E-06,0.05936516
4.14E-06,0.05935904
4.14E-06,0.05933458
4.14E-06,0.05930861
4.15E-06,0.05932588
4.15E-06,0.05934986
4.16E-06,0.05936455
4.16E-06,0.05940539
4.16E-06,0.05945778
4.17E-06,0.05948273
4.17E-06,0.05945996
4.18E-06,0.05942118
4.18E-06,0.05941176
4.18E-06,0.05944587
4.19E-06,0.05950247
4.19E-06,0.05953274
4.20E-06,0.05951382
4.20E-06,0.05951973
4.20E-06,0.05955216
4.21E-06,0.05952477
4.21E-06,0.05949555
4.22E-06,0.05950746
4.22E-06,0.05953982
4.22E-06,0.05959136
4.23E-06,0.05961086
4.23E-06,0.05959422
4.24E-06,0.05959026
4.24E-06,0.05960093
4.24E-06,0.05960361
4.25E-06,0.05962205
4.25E-06,0.05968875
4.26E-06,0.05974708
4.26E-06,0.05976457
4.27E-06,0.05975693
4.27E-06,0.05971269
4.27E-06,0.05968439
4.28E-06,0.05970456
4.28E-06,0.05973722
4.29E-06,0.05977401
4.29E-06,0.05981082
4.29E-06,0.05982883
4.30E-06,0.05982534
4.30E-06,0.05982776
4.31E-06,0.05983535
